公司名稱,公司代碼,市場類別,產業類別,職稱,姓名,所代表法人姓名
台泥,1101,上市,水泥工業,董事長之法人代表人,張安平,嘉利實業股份有限公司
台泥,1101,上市,水泥工業,董事之法人代表人,余俊彥,中成開發投資股份有限公司
台泥,1101,上市,水泥工業,董事之法人代表人,辜公怡,泰和興業股份有限公司
台泥,1101,上市,水泥工業,董事之法人代表人,李鐘培,財團法人辜公亮文教基金會
台泥,1101,上市,水泥工業,董事之法人代表人,王伯元,富品投資股份有限公司
台泥,1101,上市,水泥工業,董事之法人代表人,駱錦明,國際中橡
台泥,1101,上市,水泥工業,董事之法人代表人,張剛綸,嘉泥
台泥,1101,上市,水泥工業,董事之法人代表人,張啟文,信和投資有限公司
台泥,1101,上市,水泥工業,董事之法人代表人,劉純穎,中信投資股份有限公司
台泥,1101,上市,水泥工業,董事之法人代表人,謝其嘉,富品投資股份有限公司
台泥,1101,上市,水泥工業,董事之法人代表人,溫堅,恆強投資股份有限公司
台泥,1101,上市,水泥工業,董事之法人代表人,吳東昇,新纖
台泥,1101,上市,水泥工業,董事之法人代表人,陳啟德,嘉泥
台泥,1101,上市,水泥工業,董事之法人代表人,蔡志忠,恆強投資股份有限公司
台泥,1101,上市,水泥工業,獨立董事本人,王金山,無
台泥,1101,上市,水泥工業,獨立董事本人,焦佑鈞,無
台泥,1101,上市,水泥工業,獨立董事本人,周玲臺,無
台泥,1101,上市,水泥工業,獨立董事本人,盛治仁,無
台泥,1101,上市,水泥工業,董事之法人代表人,林南舟,十祥投資股份有限公司
國際中橡,2104,上市,橡膠工業,獨立董事本人,池慶康,無
國際中橡,2104,上市,橡膠工業,董事之法人代表人,辜公愷,富品投資股份有限公司
國際中橡,2104,上市,橡膠工業,董事之法人代表人,溫堅,中信投資股份有限公司
國際中橡,2104,上市,橡膠工業,董事之法人代表人,張安平,台泥
國際中橡,2104,上市,橡膠工業,獨立董事本人,陳耀生,無
國際中橡,2104,上市,橡膠工業,董事長之法人代表人,辜公怡,台泥
國際中橡,2104,上市,橡膠工業,獨立董事本人,丁原偉,無
嘉泥,1103,上市,水泥工業,董事長本人,張剛綸,無
嘉泥,1103,上市,水泥工業,董事之法人代表人,王勳煇,嘉新國際股份有限公司
嘉泥,1103,上市,水泥工業,董事之法人代表人,Pan Howard Wei-Hao,嘉新國際股份有限公司
嘉泥,1103,上市,水泥工業,獨立董事本人,陳冠名,無
嘉泥,1103,上市,水泥工業,獨立董事本人,陳家聲,無
嘉泥,1103,上市,水泥工業,獨立董事本人,蘇瓜藤,無
嘉泥,1103,上市,水泥工業,董事本人,陳啟德,無
新纖,1409,上市,紡織纖維,獨立董事本人,邱賢德,無
新纖,1409,上市,紡織纖維,董事長之法人代表人,吳東昇,新光開發股份有限公司
新纖,1409,上市,紡織纖維,董事之法人代表人,吳東明,新光開發股份有限公司
新纖,1409,上市,紡織纖維,獨立董事本人,蔡永欽,無
新纖,1409,上市,紡織纖維,獨立董事本人,曾榮振,無
新纖,1409,上市,紡織纖維,董事之法人代表人,王陳秀美,新光開發股份有限公司
新纖,1409,上市,紡織纖維,董事之法人代表人,洪士鈞,台灣新光實業股份有限公司
新纖,1409,上市,紡織纖維,董事之法人代表人,倪舜模,綿豪實業股份有限公司
新纖,1409,上市,紡織纖維,董事之法人代表人,楊志民,新光開發股份有限公司
新纖,1409,上市,紡織纖維,董事之法人代表人,吳盺恩,進賢投資股份有限公司
新纖,1409,上市,紡織纖維,董事之法人代表人,劉榮基,財團法人新光吳火獅文教基金會
新纖,1409,上市,紡織纖維,董事之法人代表人,何賢忠,德岳實業股份有限公司
新纖,1409,上市,紡織纖維,董事之法人代表人,施火灶,德岳實業股份有限公司
王道銀行,2897,上市,金融保險業,獨立董事本人,詹火生,無
王道銀行,2897,上市,金融保險業,董事之法人代表人,張政權,台雅投資股份有限公司
王道銀行,2897,上市,金融保險業,獨立董事本人,游朝堂,無
王道銀行,2897,上市,金融保險業,董事之法人代表人,林杇柴,怡昌投資股份有限公司
王道銀行,2897,上市,金融保險業,獨立董事本人,劉榮主,無
王道銀行,2897,上市,金融保險業,董事長之法人代表人,駱錦明,怡昌投資股份有限公司
王道銀行,2897,上市,金融保險業,董事之法人代表人,駱怡君,明山投資股份有限公司
王道銀行,2897,上市,金融保險業,董事之法人代表人,楊錦裕,怡昌投資股份有限公司
王道銀行,2897,上市,金融保險業,董事本人,李榮慶,無
王道銀行,2897,上市,金融保險業,董事之法人代表人,張安平,台泥
王道銀行,2897,上市,金融保險業,董事之法人代表人,鄭誠禎,艾貝投資股份有限公司
王道銀行,2897,上市,金融保險業,董事之法人代表人,盛保熙,啟業化工股份有限公司
王道銀行,2897,上市,金融保險業,董事之法人代表人,駱怡倩,明山投資股份有限公司
王道銀行,2897,上市,金融保險業,董事之法人代表人,董大年,旺興實業股份有限公司
王道銀行,2897,上市,金融保險業,董事之法人代表人,陳世姿,台雅投資股份有限公司
信昌化,4725,上市,化學工業,獨立董事本人,盛治仁,無
信昌化,4725,上市,化學工業,董事之法人代表人,張安平,台泥
信昌化,4725,上市,化學工業,董事長之法人代表人,辜公怡,台泥
信昌化,4725,上市,化學工業,獨立董事本人,焦仁和,無
信昌化,4725,上市,化學工業,董事之法人代表人,陳繼業,台泥
信昌化,4725,上市,化學工業,獨立董事本人,賈子南,無
信昌化,4725,上市,化學工業,董事之法人代表人,李鐘培,台泥
中聯資源,9930,上市,其他業,董事之法人代表人,鍾振和,亞泥
中聯資源,9930,上市,其他業,董事之法人代表人,陳勝儀,中鋼構
中聯資源,9930,上市,其他業,董事之法人代表人,李南平,中鋼
中聯資源,9930,上市,其他業,董事之法人代表人,陳明燦,亞泥
中聯資源,9930,上市,其他業,董事之法人代表人,張英豐,亞泥
中聯資源,9930,上市,其他業,董事之法人代表人,洪崇智,台泥
中聯資源,9930,上市,其他業,董事之法人代表人,洪維爵,台泥
中聯資源,9930,上市,其他業,董事之法人代表人,黃書誠,中碳
中聯資源,9930,上市,其他業,董事之法人代表人,張西龍,中鋼
中聯資源,9930,上市,其他業,董事之法人代表人,鍾國安,中鋼
中聯資源,9930,上市,其他業,董事長之法人代表人,常致泰,中鋼
中聯資源,9930,上市,其他業,董事長之法人代表人,梁修長,中鋼
中聯資源,9930,上市,其他業,董事之法人代表人,林志榮,中鋼構
中聯資源,9930,上市,其他業,董事之法人代表人,洪進興,中鋼構
中聯資源,9930,上市,其他業,董事長之法人代表人,郭新進,中鋼
中聯資源,9930,上市,其他業,董事之法人代表人,葉洪光,中鋼
中聯資源,9930,上市,其他業,董事之法人代表人,王煥文,中鋼
中聯資源,9930,上市,其他業,獨立董事本人,王俊賢,無
中聯資源,9930,上市,其他業,獨立董事本人,吳義林,無
中聯資源,9930,上市,其他業,董事之法人代表人,周聖志,中鋼
中聯資源,9930,上市,其他業,獨立董事本人,楊仲家,無
中聯資源,9930,上市,其他業,董事之法人代表人,歐正章,中鋼
中聯資源,9930,上市,其他業,董事之法人代表人,吳長直,東泥
中聯資源,9930,上市,其他業,獨立董事本人,李維峰,無
中聯資源,9930,上市,其他業,董事之法人代表人,侯智元,環球水泥股份有限公司
中聯資源,9930,上市,其他業,董事之法人代表人,蔡沛宏,中鋼
中聯資源,9930,上市,其他業,董事之法人代表人,陶澤龍,中鋼
中碳,1723,上市,化學工業,董事長之法人代表人,宋志育,中鋼
中碳,1723,上市,化學工業,監察人本人,賈凱傑,無
中碳,1723,上市,化學工業,董事之法人代表人,孟慶立,中鋼
中碳,1723,上市,化學工業,董事之法人代表人,姚文台,中鋼
中碳,1723,上市,化學工業,董事之法人代表人,李建明,中鋼
中碳,1723,上市,化學工業,董事之法人代表人,趙幼梅,中鋼
中碳,1723,上市,化學工業,董事長之法人代表人,趙天福,國際中橡
中碳,1723,上市,化學工業,董事長之法人代表人,王錫欽,中鋼
中碳,1723,上市,化學工業,董事之法人代表人,林弘男,中鋼
中碳,1723,上市,化學工業,董事之法人代表人,翁朝棟,中鋼
中碳,1723,上市,化學工業,董事長本人,何燦穎,無
中碳,1723,上市,化學工業,獨立董事本人,王元宏,無
中碳,1723,上市,化學工業,獨立董事本人,謝幸樹,無
中碳,1723,上市,化學工業,監察人本人,陳哲生,無
中碳,1723,上市,化學工業,董事之法人代表人,辜成允,國際中橡
中碳,1723,上市,化學工業,監察人之法人代表人,余俊彥,中鼎
中碳,1723,上市,化學工業,董事之法人代表人,常致泰,中鋼
中碳,1723,上市,化學工業,董事之法人代表人,張安平,國際中橡
友輝,4933,上櫃,光電業,董事本人,林仁博,無
友輝,4933,上櫃,光電業,董事之法人代表人,施火灶,新纖
友輝,4933,上櫃,光電業,董事本人,金玉瑩,無
友輝,4933,上櫃,光電業,董事之法人代表人,王陳秀美,新纖
友輝,4933,上櫃,光電業,董事之法人代表人,莊博臣,新纖
友輝,4933,上櫃,光電業,獨立董事本人,紀國鐘,無
友輝,4933,上櫃,光電業,獨立董事本人,林宗聖,無
友輝,4933,上櫃,光電業,董事長之法人代表人,吳東昇,新纖
友輝,4933,上櫃,光電業,獨立董事本人,謝南強,無
大台北,9908,上市,油電燃氣業,董事之法人代表人,林明星,新光醫療財團法人
大台北,9908,上市,油電燃氣業,獨立董事本人,李正明,無
大台北,9908,上市,油電燃氣業,董事之法人代表人,洪紹甫,洽發企業股份有限公司
大台北,9908,上市,油電燃氣業,董事之法人代表人,侯勝茂,新光醫療財團法人
大台北,9908,上市,油電燃氣業,董事之法人代表人,許嫺嫺,新光醫療財團法人
大台北,9908,上市,油電燃氣業,董事之法人代表人,薛美良,粵興華投資股份有限公司
大台北,9908,上市,油電燃氣業,董事之法人代表人,吳東昇,新纖
大台北,9908,上市,油電燃氣業,獨立董事本人,張建國,無
大台北,9908,上市,油電燃氣業,董事之法人代表人,吳東興,瑞士大飯店股份有限公司
大台北,9908,上市,油電燃氣業,董事之法人代表人,吳昕東,新保投資股份有限公司
大台北,9908,上市,油電燃氣業,董事本人,侯士欽,無
大台北,9908,上市,油電燃氣業,董事之法人代表人,吳昕嬡,新紡
大台北,9908,上市,油電燃氣業,監察人本人,劉志和,無
大台北,9908,上市,油電燃氣業,監察人之法人代表人,吳東勝,財團法人新光吳火獅文教基金會
大台北,9908,上市,油電燃氣業,監察人本人,王自展,無
大台北,9908,上市,油電燃氣業,董事長之法人代表人,謝榮富,新光醫療財團法人
大台北,9908,上市,油電燃氣業,獨立董事本人,王豫元,無
大台北,9908,上市,油電燃氣業,監察人之法人代表人,吳邦聲,家邦投資股份有限公司
大台北,9908,上市,油電燃氣業,監察人之法人代表人,許育瑞,仰德投資事業股份有限公司
大台北,9908,上市,油電燃氣業,監察人之法人代表人,薛夏良,泰興投資股份有限公司
